imageX,imageY,realX,realY
365.0,171.0,2000,1000
367.0,178.0,2000,1500
371.0,188.0,2000,2000
374.0,198.0,2000,2500
379.0,210.0,2000,3000
384.0,224.0,2000,3500
390.0,240.0,2000,4000
397.0,260.0,2000,4500
362.0,164.0,2000,500
406.0,285.0,2000,5000
417.0,316.0,2000,5500
432.0,356.0,2000,6000
451.0,410.0,2000,6500
342.0,157.0,2500,0
345.0,171.0,2500,1000
347.0,179.0,2500,1500
348.0,188.0,2500,2000
350.0,198.0,2500,2500
353.0,210.0,2500,3000
356.0,224.0,2500,3500
359.0,240.0,2500,4000
363.0,260.0,2500,4500
344.0,164.0,2500,500
368.0,285.0,2500,5000
375.0,316.0,2500,5500
383.0,356.0,2500,6000
394.0,410.0,2500,6500
325.0,157.0,3000,0
325.0,171.0,3000,1000
326.0,178.0,3000,1500
326.0,188.0,3000,2000
327.0,198.0,3000,2500
327.0,210.0,3000,3000
328.0,224.0,3000,3500
328.0,240.0,3000,4000
329.0,260.0,3000,4500
325.0,164.0,3000,500
331.0,285.0,3000,5000
332.0,316.0,3000,5500
334.0,356.0,3000,6000
336.0,410.0,3000,6500
307.0,157.0,3500,0
306.0,171.0,3500,1000
305.0,178.0,3500,1500
304.0,188.0,3500,2000
303.0,198.0,3500,2500
301.0,210.0,3500,3000
300.0,224.0,3500,3500
298.0,240.0,3500,4000
296.0,260.0,3500,4500
306.0,164.0,3500,500
293.0,285.0,3500,5000
289.0,316.0,3500,5500
285.0,356.0,3500,6000
279.0,410.0,3500,6500
289.0,157.0,4000,0
286.0,171.0,4000,1000
284.0,178.0,4000,1500
281.0,188.0,4000,2000
279.0,198.0,4000,2500
275.0,210.0,4000,3000
272.0,224.0,4000,3500
267.0,240.0,4000,4000
262.0,260.0,4000,4500
288.0,163.0,4000,500
255.0,285.0,4000,5000
247.0,316.0,4000,5500
236.0,356.0,4000,6000
221.0,410.0,4000,6500
272.0,157.0,4500,0
266.0,171.0,4500,1000
263.0,178.0,4500,1500
259.0,188.0,4500,2000
255.0,198.0,4500,2500
249.0,210.0,4500,3000
244.0,224.0,4500,3500
236.0,240.0,4500,4000
228.0,260.0,4500,4500
269.0,163.0,4500,500
217.0,285.0,4500,5000
204.0,316.0,4500,5500
187.0,356.0,4500,6000
164.0,410.0,4500,6500
254.0,157.0,5000,0
247.0,170.0,5000,1000
242.0,178.0,5000,1500
237.0,187.0,5000,2000
231.0,198.0,5000,2500
224.0,210.0,5000,3000
216.0,224.0,5000,3500
206.0,240.0,5000,4000
194.0,260.0,5000,4500
251.0,163.0,5000,500
180.0,285.0,5000,5000
162.0,316.0,5000,5500
138.0,356.0,5000,6000
107.0,410.0,5000,6500
412.0,157.0,500,0
424.0,171.0,500,1000
430.0,179.0,500,1500
438.0,188.0,500,2000
446.0,198.0,500,2500
456.0,210.0,500,3000
468.0,224.0,500,3500
482.0,241.0,500,4000
498.0,261.0,500,4500
418.0,164.0,500,500
519.0,285.0,500,5000
545.0,316.0,500,5500
578.0,357.0,500,6000
622.0,410.0,500,6500
237.0,157.0,5500,0
227.0,171.0,5500,1000
221.0,178.0,5500,1500
214.0,187.0,5500,2000
207.0,198.0,5500,2500
198.0,210.0,5500,3000
188.0,224.0,5500,3500
175.0,240.0,5500,4000
160.0,260.0,5500,4500
232.0,163.0,5500,500
142.0,285.0,5500,5000
119.0,316.0,5500,5500
90.0,356.0,5500,6000
50.0,410.0,5500,6500
219.0,157.0,6000,0
207.0,171.0,6000,1000
200.0,178.0,6000,1500
192.0,187.0,6000,2000
183.0,198.0,6000,2500
172.0,210.0,6000,3000
160.0,224.0,6000,3500
145.0,240.0,6000,4000
127.0,260.0,6000,4500
214.0,164.0,6000,500
105.0,285.0,6000,5000
77.0,316.0,6000,5500
41.0,356.0,6000,6000
5.0,406.0,6000,6500
202.0,157.0,6500,0
188.0,171.0,6500,1000
179.0,179.0,6500,1500
170.0,188.0,6500,2000
159.0,198.0,6500,2500
146.0,210.0,6500,3000
132.0,224.0,6500,3500
114.0,240.0,6500,4000
93.0,260.0,6500,4500
195.0,164.0,6500,500
67.0,285.0,6500,5000
35.0,316.0,6500,5500
4.0,354.0,6500,6000
184.0,157.0,7000,0
168.0,171.0,7000,1000
159.0,179.0,7000,1500
148.0,188.0,7000,2000
135.0,198.0,7000,2500
121.0,210.0,7000,3000
104.0,224.0,7000,3500
84.0,240.0,7000,4000
59.0,260.0,7000,4500
177.0,164.0,7000,500
30.0,285.0,7000,5000
3.0,315.0,7000,5500
167.0,157.0,7500,0
149.0,171.0,7500,1000
138.0,179.0,7500,1500
125.0,188.0,7500,2000
111.0,198.0,7500,2500
95.0,210.0,7500,3000
76.0,224.0,7500,3500
53.0,240.0,7500,4000
26.0,260.0,7500,4500
158.0,164.0,7500,500
2.0,284.0,7500,5000
1.0,408.0,0,2000
17.0,358.0,0,2500
42.0,317.0,0,3000
62.0,286.0,0,3500
77.0,261.0,0,4000
90.0,241.0,0,4500
100.0,224.0,0,5000
109.0,210.0,0,5500
116.0,198.0,0,6000
123.0,188.0,0,6500
101.0,436.0,1000,1500
118.0,375.0,1000,2000
131.0,330.0,1000,2500
141.0,296.0,1000,3000
148.0,269.0,1000,3500
155.0,247.0,1000,4000
160.0,230.0,1000,4500
164.0,215.0,1000,5000
167.0,202.0,1000,5500
171.0,191.0,1000,6000
173.0,182.0,1000,6500
166.0,475.0,1500,1000
170.0,413.0,1500,1500
176.0,358.0,1500,2000
181.0,318.0,1500,2500
185.0,286.0,1500,3000
187.0,261.0,1500,3500
190.0,241.0,1500,4000
192.0,224.0,1500,4500
193.0,210.0,1500,5000
195.0,198.0,1500,5500
196.0,188.0,1500,6000
197.0,179.0,1500,6500
235.0,461.0,2000,1000
231.0,393.0,2000,1500
229.0,344.0,2000,2000
227.0,306.0,2000,2500
225.0,277.0,2000,3000
224.0,254.0,2000,3500
223.0,235.0,2000,4000
222.0,219.0,2000,4500
221.0,206.0,2000,5000
220.0,195.0,2000,5500
220.0,185.0,2000,6000
219.0,176.0,2000,6500
301.0,437.0,2500,1000
287.0,375.0,2500,1500
277.0,330.0,2500,2000
269.0,296.0,2500,2500
263.0,269.0,2500,3000
258.0,247.0,2500,3500
254.0,230.0,2500,4000
250.0,215.0,2500,4500
248.0,202.0,2500,5000
245.0,191.0,2500,5500
243.0,182.0,2500,6000
241.0,173.0,2500,6500
358.0,414.0,3000,1000
337.0,359.0,3000,1500
320.0,318.0,3000,2000
308.0,286.0,3000,2500
298.0,261.0,3000,3000
290.0,241.0,3000,3500
283.0,224.0,3000,4000
278.0,210.0,3000,4500
387.0,475.0,3000,500
273.0,198.0,3000,5000
269.0,188.0,3000,5500
265.0,179.0,3000,6000
262.0,171.0,3000,6500
410.0,393.0,3500,1000
382.0,344.0,3500,1500
361.0,307.0,3500,2000
344.0,278.0,3500,2500
331.0,254.0,3500,3000
320.0,235.0,3500,3500
311.0,219.0,3500,4000
303.0,206.0,3500,4500
449.0,461.0,3500,500
297.0,195.0,3500,5000
